datetime,location,site,meas_type,staff,staff_unit,dep_to_bed,dep_to_water,adj_caprod,note
5/21/21 13:20,dh,dh1,tape,,,160.6,142.5,,
5/25/21 11:20,dh,dh1,tape,,,158.8,128.7,,
6/1/21 11:10,dh,dh1,tape,,,159.6,128.7,,
6/1/21 12:10,dh,dh1,tape,,,159.6,128.7,,
6/9/21 11:30,dh,dh1,tape,,,159.6,127,,
6/9/21 11:40,dh,dh1,tape,,,159.7,127,,
6/29/21 12:40,dh,dh1,tape,,,159.5,133.7,,
6/29/21 13:00,dh,dh1,tape,,,159.7,133.5,,
7/20/21 13:30,dh,dh1,tape,,,159.6,136.9,,
7/20/21 13:50,dh,dh1,tape,,,159.6,137,,
8/18/21 13:30,dh,dh1,tape,,,160.2,139.3,,
8/25/21 15:10,dh,dh1,tape,,,159.1,139.5,,
9/2/21 9:30,dh,dh1,tape,,,159.4,139.8,,
9/2/21 9:50,dh,dh1,tape,,,159.5,139.8,,
6/17/21 16:40,dh,dh2,tape,,,148.4,130.9,,
6/29/21 15:30,dh,dh2,tape,,,147.5,133.1,,
7/6/21 18:10,dh,dh2,tape,,,147.8,133.3,,
7/20/21 15:10,dh,dh2,tape,,,148,134.7,,
7/20/21 15:20,dh,dh2,tape,,,148,134.7,,
8/25/21 15:40,dh,dh2,tape,,,147.2,135.5,,
9/1/21 16:30,dh,dh2,tape,,,147.7,135.9,,
9/1/21 16:40,dh,dh2,tape,,,148.1,135.7,,
8/26/21 9:10,dh,dhS1,tape,,,64.5,42.6,,
9/1/21 15:50,dh,dhS1,tape,,,64.9,42.8,,
9/1/21 16:10,dh,dhS1,tape,,,64.8,42.8,,
5/26/21 13:20,est_louis,est_louis1,tape,,,159.3,123.3,,
7/7/21 15:50,est_louis,est_louis1,tape,,,155.9,125.9,,
7/7/21 16:00,est_louis,est_louis1,tape,,,155.9,125.9,,
7/21/21 14:40,est_louis,est_louis1,tape,,,158.4,129,,
7/21/21 15:00,est_louis,est_louis1,tape,,,158.5,129.2,,
9/1/21 14:10,est_louis,est_louis1,tape,,,157.1,135,,
9/1/21 14:40,est_louis,est_louis1,tape,,,155.8,134.7,,
5/25/21 15:30,fool,fool1,tape,,,153.9,134.1,,
7/7/21 17:20,fool,fool1,tape,,,152.8,137.4,,
7/7/21 17:40,fool,fool1,tape,,,152.8,137.2,,
7/21/21 15:50,fool,fool1,tape,,,153.3,139,,
7/21/21 16:00,fool,fool1,tape,1.83,,153.7,138.8,,staff ruler present as part of old weir
8/24/21 14:30,fool,fool1,tape,,,153.8,140.3,,
8/24/21 15:50,fool,fool1,tape,,,154.1,140.5,,
8/31/21 18:20,fool,fool1,tape,,,154,140.7,,
8/31/21 18:30,fool,fool1,tape,,,154,140.8,,
9/15/21 9:50,fool,fool1,tape,,,153.1,140.9,,
9/15/21 10:50,fool,fool1,tape,,,153.7,140.7,,
9/15/21 11:00,fool,fool1,tape,,,145.1,140.9,,
7/8/21 8:40,fool,fool2,tape,,,159,134.6,,
7/8/21 9:00,fool,fool2,tape,,,159,134.4,y,"caprod touching bed, length change from 159.3cm to 156.2 cm"
7/21/21 16:50,fool,fool2,tape,,,159.3,136.2,,
7/21/21 17:00,fool,fool2,tape,,,158.9,136.2,,
8/24/21 17:40,fool,fool2,tape,,,159.1,137.8,,
8/31/21 17:50,fool,fool2,tape,,,159.4,138.2,,
8/31/21 18:00,fool,fool2,tape,,,159.5,138.2,,
7/8/21 10:10,fool,fool3,tape,,,148.3,128.3,,
7/8/21 10:30,fool,fool3,tape,,,148.7,128.3,,
7/21/21 17:40,fool,fool3,tape,,,148.9,131.1,,
7/21/21 18:00,fool,fool3,tape,,,149,131.1,,
8/17/21 18:30,fool,fool3,tape,,,145.6,132.7,,
8/31/21 16:30,fool,fool3,tape,,,145.8,133.7,,
8/31/21 16:50,fool,fool3,tape,,,145.4,133.9,,
7/8/21 11:30,fool,fool4,tape,,,145.2,115.5,,
7/8/21 11:40,fool,fool4,tape,,,145.1,115.5,,
7/21/21 18:30,fool,fool4,tape,,,149.5,117.5,,
7/21/21 18:40,fool,fool4,tape,,,149.4,117.4,,
8/17/21 17:10,fool,fool4,tape,,,145.6,119.3,,
8/31/21 14:40,fool,fool4,tape,,,148.7,120.2,,
8/31/21 15:10,fool,fool4,tape,,,145.5,120.3,,
8/31/21 15:40,fool,fool4,tape,,,145.8,120.4,,
5/25/21 9:40,lexen,lexen1,tape,,,159.7,133.2,,
6/30/21 15:50,lexen,lexen1,tape,,,156.2,137.2,,
6/30/21 16:00,lexen,lexen1,tape,,,155.5,137.1,,
7/7/21 12:10,lexen,lexen1,tape,,,155.7,138.4,,
7/21/21 13:20,lexen,lexen1,tape,,,155.7,140.7,,
7/21/21 13:30,lexen,lexen1,tape,,,155.7,140.4,,
8/11/21,lexen,lexen1,tape,,,156.1,142.4,,no time recorded
8/11/21,lexen,lexen1,tape,,,155.7,142.3,,no time recorded
8/25/21 12:40,lexen,lexen1,tape,,,155.7,142.8,,
9/1/21 12:40,lexen,lexen1,tape,,,155.7,143.2,,
9/1/21 12:50,lexen,lexen1,tape,,,155.1,143.1,,
6/30/21 12:00,lexen,lexen2,tape,,,147.4,133.4,,
7/21/21 12:40,lexen,lexen2,tape,,,149.4,135,,
7/21/21 12:50,lexen,lexen2,tape,,,149.5,135.2,,
8/11/21 16:20,lexen,lexen2,tape,,,146.4,135.5,,
8/11/21 16:30,lexen,lexen2,tape,,,148.2,135.3,,
8/25/21 12:10,lexen,lexen2,tape,,,146.4,136.5,,
9/1/21 12:00,lexen,lexen2,tape,,,146.2,136.2,,
9/1/21 12:20,lexen,lexen2,tape,,,147,136.4,,
6/30/21 13:40,lexen,lexen3,tape,,,119.7,98.5,,
6/30/21 14:00,lexen,lexen3,tape,,,120,98.4,,
7/21/21 11:30,lexen,lexen3,tape,,,119.5,99.7,,
7/21/21 11:40,lexen,lexen3,tape,,,120.5,99.7,,
8/11/21 14:50,lexen,lexen3,tape,,,121,100.4,,
8/25/21 11:30,lexen,lexen3,tape,,,120.7,101,,
9/1/21 11:10,lexen,lexen3,tape,,,120.2,101.2,,
9/1/21 11:20,lexen,lexen3,tape,,,120.4,101.1,,
8/11/21 14:30,lexen ,lexen3,tape,,,120.8,100.5,,
