sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
1,17/06/2021 17:00:00,6.4,76,76,6/17/21 17:00
2,17/06/2021 17:10:00,6.3,77,76,6/17/21 17:10
3,17/06/2021 17:20:00,6.3,75,78,6/17/21 17:20
4,17/06/2021 17:30:00,6.2,80,78,6/17/21 17:30
5,17/06/2021 17:40:00,6.1,79,78,6/17/21 17:40
6,17/06/2021 17:50:00,6.1,75,77,6/17/21 17:50
7,17/06/2021 18:00:00,6,76,76,6/17/21 18:00
8,17/06/2021 18:10:00,6,78,78,6/17/21 18:10
9,17/06/2021 18:20:00,6,77,78,6/17/21 18:20
10,17/06/2021 18:30:00,5.9,75,77,6/17/21 18:30
11,17/06/2021 18:40:00,5.9,77,78,6/17/21 18:40
12,17/06/2021 18:50:00,5.9,78,78,6/17/21 18:50
13,17/06/2021 19:00:00,5.8,79,79,6/17/21 19:00
14,17/06/2021 19:10:00,5.8,78,79,6/17/21 19:10
15,17/06/2021 19:20:00,5.8,79,78,6/17/21 19:20
16,17/06/2021 19:30:00,5.7,83,82,6/17/21 19:30
17,17/06/2021 19:40:00,5.7,81,82,6/17/21 19:40
18,17/06/2021 19:50:00,5.7,82,82,6/17/21 19:50
19,17/06/2021 20:00:00,5.6,81,82,6/17/21 20:00
20,17/06/2021 20:10:00,5.6,81,81,6/17/21 20:10
21,17/06/2021 20:20:00,5.6,82,81,6/17/21 20:20
22,17/06/2021 20:30:00,5.5,82,82,6/17/21 20:30
23,17/06/2021 20:40:00,5.5,83,81,6/17/21 20:40
24,17/06/2021 20:50:00,5.4,81,81,6/17/21 20:50
25,17/06/2021 21:00:00,5.4,83,82,6/17/21 21:00
26,17/06/2021 21:10:00,5.3,80,82,6/17/21 21:10
27,17/06/2021 21:20:00,5.3,83,82,6/17/21 21:20
28,17/06/2021 21:30:00,5.2,82,82,6/17/21 21:30
29,17/06/2021 21:40:00,5.2,82,81,6/17/21 21:40
30,17/06/2021 21:50:00,5.1,82,81,6/17/21 21:50
31,17/06/2021 22:00:00,5.1,82,82,6/17/21 22:00
32,17/06/2021 22:10:00,5.1,83,82,6/17/21 22:10
33,17/06/2021 22:20:00,5,83,82,6/17/21 22:20
34,17/06/2021 22:30:00,5,83,82,6/17/21 22:30
35,17/06/2021 22:40:00,5,83,82,6/17/21 22:40
36,17/06/2021 22:50:00,5,79,81,6/17/21 22:50
37,17/06/2021 23:00:00,5,83,82,6/17/21 23:00
38,17/06/2021 23:10:00,5,83,83,6/17/21 23:10
39,17/06/2021 23:20:00,4.9,82,82,6/17/21 23:20
40,17/06/2021 23:30:00,4.9,85,82,6/17/21 23:30
41,17/06/2021 23:40:00,4.9,84,82,6/17/21 23:40
42,17/06/2021 23:50:00,4.9,83,83,6/17/21 23:50
43,18/06/2021 00:00:00,4.9,83,83,6/18/21 0:00
44,18/06/2021 00:10:00,4.9,83,82,6/18/21 0:10
45,18/06/2021 00:20:00,4.9,84,83,6/18/21 0:20
46,18/06/2021 00:30:00,4.9,84,83,6/18/21 0:30
47,18/06/2021 00:40:00,4.9,83,83,6/18/21 0:40
48,18/06/2021 00:50:00,4.8,82,83,6/18/21 0:50
49,18/06/2021 01:00:00,4.8,84,83,6/18/21 1:00
50,18/06/2021 01:10:00,4.8,82,82,6/18/21 1:10
51,18/06/2021 01:20:00,4.7,84,83,6/18/21 1:20
52,18/06/2021 01:30:00,4.7,81,82,6/18/21 1:30
53,18/06/2021 01:40:00,4.7,82,82,6/18/21 1:40
54,18/06/2021 01:50:00,4.7,84,83,6/18/21 1:50
55,18/06/2021 02:00:00,4.7,79,82,6/18/21 2:00
56,18/06/2021 02:10:00,4.6,83,83,6/18/21 2:10
57,18/06/2021 02:20:00,4.6,84,82,6/18/21 2:20
58,18/06/2021 02:30:00,4.6,82,82,6/18/21 2:30
59,18/06/2021 02:40:00,4.6,83,83,6/18/21 2:40
60,18/06/2021 02:50:00,4.6,82,83,6/18/21 2:50
61,18/06/2021 03:00:00,4.6,82,83,6/18/21 3:00
62,18/06/2021 03:10:00,4.5,82,83,6/18/21 3:10
63,18/06/2021 03:20:00,4.5,83,83,6/18/21 3:20
64,18/06/2021 03:30:00,4.5,83,83,6/18/21 3:30
65,18/06/2021 03:40:00,4.5,83,82,6/18/21 3:40
66,18/06/2021 03:50:00,4.5,83,83,6/18/21 3:50
67,18/06/2021 04:00:00,4.4,82,83,6/18/21 4:00
68,18/06/2021 04:10:00,4.4,82,83,6/18/21 4:10
69,18/06/2021 04:20:00,4.4,83,82,6/18/21 4:20
70,18/06/2021 04:30:00,4.4,83,83,6/18/21 4:30
71,18/06/2021 04:40:00,4.4,85,83,6/18/21 4:40
72,18/06/2021 04:50:00,4.4,82,83,6/18/21 4:50
73,18/06/2021 05:00:00,4.4,82,83,6/18/21 5:00
74,18/06/2021 05:10:00,4.4,82,83,6/18/21 5:10
75,18/06/2021 05:20:00,4.4,80,82,6/18/21 5:20
76,18/06/2021 05:30:00,4.3,82,83,6/18/21 5:30
77,18/06/2021 05:40:00,4.3,83,83,6/18/21 5:40
78,18/06/2021 05:50:00,4.3,83,83,6/18/21 5:50
79,18/06/2021 06:00:00,4.3,84,83,6/18/21 6:00
80,18/06/2021 06:10:00,4.3,84,83,6/18/21 6:10
81,18/06/2021 06:20:00,4.3,82,83,6/18/21 6:20
82,18/06/2021 06:30:00,4.2,82,83,6/18/21 6:30
83,18/06/2021 06:40:00,4.2,82,82,6/18/21 6:40
84,18/06/2021 06:50:00,4.2,83,83,6/18/21 6:50
85,18/06/2021 07:00:00,4.2,82,83,6/18/21 7:00
86,18/06/2021 07:10:00,4.3,84,83,6/18/21 7:10
87,18/06/2021 07:20:00,4.3,82,83,6/18/21 7:20
88,18/06/2021 07:30:00,4.3,84,84,6/18/21 7:30
89,18/06/2021 07:40:00,4.3,82,83,6/18/21 7:40
90,18/06/2021 07:50:00,4.4,82,82,6/18/21 7:50
