sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
10257,22/07/2021 17:20:00,8.8,230,231,7/22/21 17:20
10258,22/07/2021 17:30:00,8.8,229,230,7/22/21 17:30
10259,22/07/2021 17:40:00,8.7,229,229,7/22/21 17:40
10260,22/07/2021 17:50:00,8.7,229,229,7/22/21 17:50
10261,22/07/2021 18:00:00,8.7,230,229,7/22/21 18:00
10262,22/07/2021 18:10:00,8.6,231,230,7/22/21 18:10
10263,22/07/2021 18:20:00,8.6,231,231,7/22/21 18:20
10264,22/07/2021 18:30:00,8.5,232,232,7/22/21 18:30
10265,22/07/2021 18:40:00,8.5,232,232,7/22/21 18:40
10266,22/07/2021 18:50:00,8.5,233,232,7/22/21 18:50
10267,22/07/2021 19:00:00,8.4,234,233,7/22/21 19:00
10268,22/07/2021 19:10:00,8.4,234,234,7/22/21 19:10
10269,22/07/2021 19:20:00,8.4,236,235,7/22/21 19:20
10270,22/07/2021 19:30:00,8.3,236,236,7/22/21 19:30
10271,22/07/2021 19:40:00,8.3,236,236,7/22/21 19:40
10272,22/07/2021 19:50:00,8.3,238,237,7/22/21 19:50
10273,22/07/2021 20:00:00,8.2,239,238,7/22/21 20:00
10274,22/07/2021 20:10:00,8.2,240,239,7/22/21 20:10
10275,22/07/2021 20:20:00,8.2,241,240,7/22/21 20:20
10276,22/07/2021 20:30:00,8.1,241,241,7/22/21 20:30
10277,22/07/2021 20:40:00,8.1,241,241,7/22/21 20:40
10278,22/07/2021 20:50:00,8,240,240,7/22/21 20:50
10279,22/07/2021 21:00:00,8,240,240,7/22/21 21:00
10280,22/07/2021 21:10:00,7.9,239,239,7/22/21 21:10
10281,22/07/2021 21:20:00,7.9,237,238,7/22/21 21:20
10282,22/07/2021 21:30:00,7.9,236,237,7/22/21 21:30
10283,22/07/2021 21:40:00,7.9,234,235,7/22/21 21:40
10284,22/07/2021 21:50:00,7.8,233,234,7/22/21 21:50
10285,22/07/2021 22:00:00,7.8,232,233,7/22/21 22:00
10286,22/07/2021 22:10:00,7.8,231,231,7/22/21 22:10
10287,22/07/2021 22:20:00,7.7,229,230,7/22/21 22:20
10288,22/07/2021 22:30:00,7.7,229,229,7/22/21 22:30
10289,22/07/2021 22:40:00,7.7,228,228,7/22/21 22:40
10290,22/07/2021 22:50:00,7.6,227,227,7/22/21 22:50
10291,22/07/2021 23:00:00,7.6,225,226,7/22/21 23:00
10292,22/07/2021 23:10:00,7.6,224,225,7/22/21 23:10
10293,22/07/2021 23:20:00,7.6,224,225,7/22/21 23:20
10294,22/07/2021 23:30:00,7.5,224,224,7/22/21 23:30
10295,22/07/2021 23:40:00,7.5,223,223,7/22/21 23:40
10296,22/07/2021 23:50:00,7.5,223,222,7/22/21 23:50
10297,23/07/2021 00:00:00,7.5,222,222,7/23/21 0:00
10298,23/07/2021 00:10:00,7.5,221,221,7/23/21 0:10
10299,23/07/2021 00:20:00,7.5,221,221,7/23/21 0:20
10300,23/07/2021 00:30:00,7.4,220,220,7/23/21 0:30
