sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
321,10/6/2021 19:50,2.1,232,229,6/10/21 19:50
322,10/6/2021 20:00,2.1,228,224,6/10/21 20:00
323,10/6/2021 20:10,2.1,226,225,6/10/21 20:10
324,10/6/2021 20:20,2.1,218,226,6/10/21 20:20
325,10/6/2021 20:30,2,220,221,6/10/21 20:30
326,10/6/2021 20:40,2,215,220,6/10/21 20:40
327,10/6/2021 20:50,2,217,223,6/10/21 20:50
328,10/6/2021 21:00,2,236,229,6/10/21 21:00
329,10/6/2021 21:10,1.9,226,225,6/10/21 21:10
330,10/6/2021 21:20,1.9,222,225,6/10/21 21:20
331,10/6/2021 21:30,1.9,210,222,6/10/21 21:30
332,10/6/2021 21:40,1.9,215,223,6/10/21 21:40
333,10/6/2021 21:50,1.9,218,221,6/10/21 21:50
334,10/6/2021 22:00,1.9,222,224,6/10/21 22:00
335,10/6/2021 22:10,1.9,213,217,6/10/21 22:10
336,10/6/2021 22:20,1.9,213,220,6/10/21 22:20
337,10/6/2021 22:30,1.8,226,223,6/10/21 22:30
338,10/6/2021 22:40,1.8,225,220,6/10/21 22:40
339,10/6/2021 22:50,1.8,217,219,6/10/21 22:50
340,10/6/2021 23:00,1.8,221,219,6/10/21 23:00
341,10/6/2021 23:10,1.8,209,219,6/10/21 23:10
342,10/6/2021 23:20,1.8,224,227,6/10/21 23:20
343,10/6/2021 23:30,1.8,233,222,6/10/21 23:30
344,10/6/2021 23:40,1.8,211,221,6/10/21 23:40
345,10/6/2021 23:50,1.8,227,225,6/10/21 23:50
346,11/6/2021 0:00,1.8,231,225,6/11/21 00:00
347,11/6/2021 0:10,1.7,213,221,6/11/21 00:10
348,11/6/2021 0:20,1.7,228,224,6/11/21 00:20
349,11/6/2021 0:30,1.7,214,223,6/11/21 00:30
350,11/6/2021 0:40,1.7,216,223,6/11/21 00:40
351,11/6/2021 0:50,1.6,224,222,6/11/21 00:50
352,11/6/2021 1:00,1.6,216,225,6/11/21 01:00
353,11/6/2021 1:10,1.6,221,221,6/11/21 01:10
