sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
1,6/21/21 10:40,6,143,143,6/21/21 10:40
2,6/21/21 10:50,6.1,89,79,6/21/21 10:50
3,6/21/21 11:00,6.1,89,90,6/21/21 11:00
4,6/21/21 11:10,6.3,89,89,6/21/21 11:10
5,6/21/21 11:20,6.4,89,88,6/21/21 11:20
6,6/21/21 11:30,6.5,89,89,6/21/21 11:30
7,6/21/21 11:40,6.7,88,74,6/21/21 11:40
8,6/21/21 11:50,6.8,89,89,6/21/21 11:50
9,6/21/21 12:00,6.9,88,88,6/21/21 12:00
10,6/21/21 12:10,6.9,89,89,6/21/21 12:10
11,6/21/21 12:20,7.1,88,88,6/21/21 12:20
12,6/21/21 12:30,7.2,88,88,6/21/21 12:30
13,6/21/21 12:40,7.3,88,88,6/21/21 12:40
14,6/21/21 12:50,7.5,88,88,6/21/21 12:50
15,6/21/21 13:00,7.7,88,88,6/21/21 13:00
16,6/21/21 13:10,7.9,88,88,6/21/21 13:10
17,6/21/21 13:20,8.1,88,88,6/21/21 13:20
18,6/21/21 13:30,8.2,88,88,6/21/21 13:30
19,6/21/21 13:40,8.2,88,88,6/21/21 13:40
20,6/21/21 13:50,8.3,88,88,6/21/21 13:50
21,6/21/21 14:00,8.3,88,88,6/21/21 14:00
22,6/21/21 14:10,8.4,88,88,6/21/21 14:10
23,6/21/21 14:20,8.4,88,88,6/21/21 14:20
24,6/21/21 14:30,8.4,88,88,6/21/21 14:30
25,6/21/21 14:40,8.4,88,88,6/21/21 14:40
26,6/21/21 14:50,8.3,88,88,6/21/21 14:50
27,6/21/21 15:00,8.2,88,88,6/21/21 15:00
28,6/21/21 15:10,8.1,88,88,6/21/21 15:10
29,6/21/21 15:20,8,89,88,6/21/21 15:20
30,6/21/21 15:30,7.9,88,88,6/21/21 15:30
31,6/21/21 15:40,7.9,88,88,6/21/21 15:40
32,6/21/21 15:50,7.8,88,88,6/21/21 15:50
33,6/21/21 16:00,7.8,88,88,6/21/21 16:00
34,6/21/21 16:10,7.7,88,88,6/21/21 16:10
35,6/21/21 16:20,7.6,88,88,6/21/21 16:20
36,6/21/21 16:30,7.6,88,88,6/21/21 16:30
37,6/21/21 16:40,7.5,88,88,6/21/21 16:40
38,6/21/21 16:50,7.3,89,88,6/21/21 16:50
39,6/21/21 17:00,7.2,88,88,6/21/21 17:00
40,6/21/21 17:10,7.1,89,88,6/21/21 17:10
41,6/21/21 17:20,6.9,89,88,6/21/21 17:20
42,6/21/21 17:30,6.8,88,88,6/21/21 17:30
43,6/21/21 17:40,6.7,88,88,6/21/21 17:40
44,6/21/21 17:50,6.6,88,88,6/21/21 17:50
45,6/21/21 18:00,6.5,87,88,6/21/21 18:00
46,6/21/21 18:10,6.4,87,88,6/21/21 18:10
47,6/21/21 18:20,6.3,88,88,6/21/21 18:20
48,6/21/21 18:30,6.2,88,88,6/21/21 18:30
49,6/21/21 18:40,6.2,88,88,6/21/21 18:40
50,6/21/21 18:50,6.1,89,88,6/21/21 18:50
51,6/21/21 19:00,6,89,88,6/21/21 19:00
52,6/21/21 19:10,5.9,88,88,6/21/21 19:10
53,6/21/21 19:20,5.9,88,88,6/21/21 19:20
54,6/21/21 19:30,5.8,88,88,6/21/21 19:30
55,6/21/21 19:40,5.7,88,88,6/21/21 19:40
56,6/21/21 19:50,5.6,88,88,6/21/21 19:50
57,6/21/21 20:00,5.6,88,88,6/21/21 20:00
58,6/21/21 20:10,5.5,88,88,6/21/21 20:10
59,6/21/21 20:20,5.5,88,88,6/21/21 20:20
60,6/21/21 20:30,5.4,88,88,6/21/21 20:30
61,6/21/21 20:40,5.3,87,88,6/21/21 20:40
62,6/21/21 20:50,5.3,88,88,6/21/21 20:50
63,6/21/21 21:00,5.2,88,88,6/21/21 21:00
64,6/21/21 21:10,5.1,88,88,6/21/21 21:10
65,6/21/21 21:20,5.1,88,88,6/21/21 21:20
66,6/21/21 21:30,5,87,88,6/21/21 21:30
67,6/21/21 21:40,5,88,88,6/21/21 21:40
68,6/21/21 21:50,4.9,88,87,6/21/21 21:50
69,6/21/21 22:00,4.9,87,88,6/21/21 22:00
70,6/21/21 22:10,4.8,88,87,6/21/21 22:10
71,6/21/21 22:20,4.7,88,88,6/21/21 22:20
72,6/21/21 22:30,4.7,87,87,6/21/21 22:30
